reviewer_name,content,full_url,rating,time,owner_replied,owner_reply
Gerry Rome,"Just to make it clear I am writing a review on the gym and not the hotel. I have been a gym member for the past two years. I became a member because the manager insured me that they don't allow aggressive people to enrol. Two years after and the place is full of groups of angry,  disgusting and loud men who talk on the phone in the workout areas, throw their towels everywhere on the floor, put their dirty shoes on the benches in the locker rooms, and sometimes even train with their jeans on. And don't get me started on the sauna area. Women don't feel safe in there, believe me. The staff is always helpful and polite though, the training equipment is new and of high quality. The problem I see is mainly the low quality and lack of manners of many of the new members. If I am paying all this money, then I need to feel safe and protected in the place I come to relax and train. I've just cancelled my membership...",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtM0s2cjdBRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID-3K6r7AE%7CCgwI8tr6mwYQuKzOsQI%7C?hl=en-US,2,a month ago,True,"(Translated by Google) Good evening Gerry, thank you for your review and for raising your concerns. I am very sorry that you experienced situations that made you uncomfortable. My team and I are on site during opening hours and are happy to take direct advice. Of course, it is unfortunate that there are a few members in our house who do not follow the club's etiquette and would be grateful for any information. Day and time are sufficient to pursue your points in order to narrow down the individual persons / groups. My team and I would be very happy to talk to you personally and would be very grateful if you took the opportunity to leave more specific information at the Membership Service or by email: blnmemberservice@aspria.de or Management Sandra Schmalzried, since in the last few months there has been little or no concrete feedback on the points you mentioned.
However, I also noticed the positive aspects and thank you for mentioning them in your feedback. I'm not sure who gave you the assurance of pre-identifying and denying members who are misbehaving, but I can assure you that we will follow up on any leads to provide our members and guests with a place to relax at the club.

With a warm greeting from the Aspria
Sandra Schmalzried
General manager

(Original)
Einen schönen guten Abend Gerry, vielen Dank für Ihre Rezension und Äußern Ihrer Bedenken. Es tut mir sehr leid, dass Sie Situationen erlebten, die bei Ihnen Unbehagen ausgelöst haben. Mein Team und ich sind während der Öffnungszeiten vor Ort und nehmen gerne direkt Hinweise entgegen. Natürlich ist es bedauerlich, dass es vereinzelt Mitglieder in unserem Hause gibt, die sich wohl nicht an die Etikette des Clubs halten und sind hier für jeden Hinweis dankbar. Es reicht Tag und Uhrzeit aus um Ihren Punkten nachzugehen um die einzelnen Personen / -gruppen einzugrenzen. Mein Team und ich würden uns sehr gerne persönlich mit Ihnen unterhalten und wären Ihnen sehr verbunden, wenn Sie die Möglichkeit nutzen, konkretere Infos beim Membership Service oder per email: blnmemberservice@aspria.de oder Management Sandra Schmalzried zu hinterlassen, da in den letzten Monaten zu den von Ihnen genannten Punkten kaum bis gar keine konkreteren Rückmeldungen eingegangen sind. 
Durchaus habe ich aber auch die positiven Aspekte wahrgenommen und danke Ihnen, dass Sie diese in Ihrem Feedback nicht unerwähnt lassen. Ich bin mir nicht sicher, wer Ihnen die Sicherheit gegeben hat, Mitglieder ohne Benehmen vorab zu erkennen und den Zutritt zu verwehren, kann Ihnen aber versichern, dass wir jedem Hinweis nachgehen um unseren Mitgliedern und Gästen im Club einen Ort der Entspannung zu bieten. 

Mit einem herzlichen Gruß aus dem Aspria
Sandra Schmalzried
General Manager"
Kana M.,The swimming pool is probably the best in town. Most of the staff are nice and helpful. Kids friendly facilities are big plus !,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCbHY3Nzd3RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICBlv777wE%7CCgwI0YCcnQYQ2ML00gE%7C?hl=en-US,4,2 weeks ago,True,"We love to read that you had quality time at Aspria enjoying the day with your kids.

See you at Aspria,
Sandra Schmalzried
General Manager
Aspria Berlin"
bleki ova,"I recommend the place not only for fitness. Spa block is excellent, especially massage",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCenM2eXZBRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICBzs6yvAE%7CCgwIlNuinQYQoL3l1QE%7C?hl=en-US,5,2 weeks ago,True,"Thank you very much…my teams are doing best to please all my guests desires…hope to see you soon again.
Sandra Schmalzried
General Manager
Aspria Berlin"
Neshat Mandi,"I’m a club member since many years and at the time nothing is working properly. 2 of my expensive sunglasses were stolen, the wellness area is not taking good care of, I slipped and fell and was taken to the hospital because of the the wett floor, the personal are very impolite and rude. This is a big mistake and wasting money to join this club.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR1MUxQWEl3EAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDu1LPXIw%7CCgwI-5PklwYQoNvwywI%7C?hl=en-US,1,4 months ago,False,
Gavin Stockdale,Lovely hotel Lovely rooms very friendly staff we was on the 13th floor the views was spectacular of Berlin sorry I ment the 3rd floor big room very clean,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNlejd5bkNBEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgICez7ynCA%7CCgsIuPqHmgYQqMC6Fw%7C?hl=en-US,4,3 months ago,True,"Thank you Gavin…Aspria Berlin does take the credits for the lovely rooms but unfortunately cannot for 13 floors since our building only has five.
But it seems you had a great time in Berlin.
Kind regards
Aspria Berlin"
Bauchot Justine,"The hotel would be great but the service is terrible. It’s not what you expect when traveling.
As other comments said, breakfast isn’t worth it at all. It is the first time I see such a poor service for this price. You can only choose between croissants, 1 type of bread, 1 type of yogurt, 1 small fruit salade: that’s not what you expect when going in an hotel.
Room is good but it wasn’t cleaned up when I came back at 5:30pm.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyNE9hOVJnEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID24Oa9Rg%7CCgwIn5rFkwYQoJDyqQI%7C?hl=en-US,1,8 months ago,False,
matthijs valkering,"I booked the deluxe room accessible. The staff/personel were very hulpfull in all things asked.
The room was comfortably big.
My only suggestions:
Get a power point next to your bed
Get the service call next to your bed.
Remember a disabled often can't walk at night to the suggestions written above,
The TV is great. However make it digital, if you decide to stay in the hotel you would like to watch a movie or tv on demand,from your bed. Adding for example Netflix,HBO or Disney etc. 1 is enough! After the gym and spa relax in bed time!",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyd1BQN0RBEAE!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID2wPP7DA%7CCgwI_ubDkwYQ-OnJlwI%7C?hl=en-US,4,8 months ago,False,
ceren ahiska,"Nice facility, cool trainers horrible reception. Definitely not worth the money they charge for",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtdmN1RjVnRRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIC-vcuF5gE%7CCgsI1465mwYQ6KzyRQ%7C?hl=en-US,2,a month ago,True,"Thank you for your feedback and luckily our core product (equipment, variety, trainers) as a wellbeing club has met your expectations. Sorry, that your experience at reception has not been to your satisfaction and will work on this one for next time. 
Best wishes,
Sandra Schmalzried
General Manager
Aspria Berlin"
Eric Schaechter,Stayed here for one night. The hotel rooms in a gym/spa concept is weird but it worked very well for me to have access to a nice sauna area!,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQycTRDa3V3RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgID2q4CkuwE%7CCgwIgMu3lAYQ2KyFrgM%7C?hl=en-US,5,7 months ago,False,
Andrea Ilic,"The fitness options are great and were my main reason to choose this stay but the hotel service itself is really not worth the price. The room service isn’t really cleaning the place, you can’t get a water cooker like in every normal hotel in your room, also no coffee before 6 and the furniture is making a cracking noise which is really annoying when you are trying to sleep.",https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURHenZTdTJ3RRAB!2m1!1s0x0:0x2faf0f02eacd864e!3m1!1s2@1:CIHM0ogKEICAgIDGzvSu2wE%7CCgwI4O-MjQYQ8MubzwI%7C?hl=en-US,3,a year ago,False,
